testCase_id,testcase_name,duration_sec,status,start_time,end_time,upload_time,time_since_last_run
11,PaintBotEdgeTolerance_Check {Autobot1},30.0,Passed,2025-06-10 16:21:06.180,2025-06-10 16:21:36.183,2025-06-10 16:21:41.089553,0 days 00:08:00.215112
11,PaintBotEdgeTolerance_Check {Autobot1},30.0,Passed,2025-06-10 16:21:06.180,2025-06-10 16:21:36.183,2025-06-10 17:03:56.449436,0 days 00:42:15.359883
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-06-10 21:06:27.153,2025-06-10 21:06:57.160,2025-06-10 21:07:09.497130,0 days 04:03:13.047694
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-06-10 21:06:27.153,2025-06-10 21:06:57.160,2025-06-10 21:49:12.940858,0 days 00:42:03.443728
11,PaintBotEdgeTolerance_Check {Autobot1},30.02,Passed,2025-06-10 22:06:50.847,2025-06-10 22:07:20.863,2025-06-10 22:07:43.758775,0 days 00:18:30.817917
11,PaintBotEdgeTolerance_Check {Autobot1},30.02,Passed,2025-06-10 22:06:50.847,2025-06-10 22:07:20.863,2025-06-11 00:12:47.949066,0 days 02:05:04.190291
11,PaintBotEdgeTolerance_Check {Autobot1},30.0,Passed,2025-06-11 09:06:29.750,2025-06-11 09:06:59.753,2025-06-11 09:07:13.957090,0 days 08:54:26.008024
11,PaintBotEdgeTolerance_Check {Autobot1},30.0,Passed,2025-06-11 09:06:29.750,2025-06-11 09:06:59.753,2025-06-11 09:48:48.146223,0 days 00:41:34.189133
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-06-11 18:33:40.123,2025-06-11 18:34:10.133,2025-06-11 18:34:24.792086,0 days 08:45:36.645863
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-06-11 18:33:40.123,2025-06-11 18:34:10.133,2025-06-11 19:16:08.483846,0 days 00:41:43.691760
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-06-13 10:19:39.433,2025-06-13 10:20:09.440,2025-06-13 10:20:19.782676,1 days 15:04:11.298830
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-06-13 10:19:39.433,2025-06-13 10:20:09.440,2025-06-13 11:16:36.988504,0 days 00:56:17.205828
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-06-14 18:48:18.157,2025-06-14 18:48:48.163,2025-06-14 18:49:03.056586,1 days 07:32:26.068082
11,PaintBotEdgeTolerance_Check {Autobot1},30.01,Passed,2025-06-14 18:48:18.157,2025-06-14 18:48:48.163,2025-06-14 19:30:38.534826,0 days 00:41:35.478240
12,PaintBotFaultyMove_ShouldFail {Autobot1},1.1,Passed,2025-05-28 18:09:45.663,2025-05-28 18:09:46.760,2025-05-28 18:09:59.040421,0 days 00:27:50.209282
12,PaintBotFaultyMove_ShouldFail {Autobot1},1.05,Passed,2025-05-28 19:51:07.340,2025-05-28 19:51:08.393,2025-05-28 19:51:28.896182,0 days 01:41:29.855761
12,PaintBotFaultyMove_ShouldFail {Autobot1},1.41,Passed,2025-05-28 20:29:00.803,2025-05-28 20:29:02.217,2025-05-28 20:29:13.825822,0 days 00:37:44.929640
12,PaintBotFaultyMove_ShouldFail {Autobot1},1.72,Passed,2025-05-29 11:23:23.040,2025-05-29 11:23:24.763,2025-05-29 11:23:31.613055,0 days 14:54:17.787233
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.42,Passed,2025-05-31 19:59:00.073,2025-05-31 19:59:00.490,2025-05-31 19:59:15.056321,2 days 08:35:43.443266
12,PaintBotFaultyMove_ShouldFail {Autobot1},2.0,Passed,2025-05-31 21:04:45.347,2025-05-31 21:04:47.350,2025-05-31 21:04:56.417264,0 days 01:05:41.360943
12,PaintBotFaultyMove_ShouldFail {Autobot1},1.2,Passed,2025-05-31 21:28:42.783,2025-05-31 21:28:43.983,2025-05-31 21:28:58.499843,0 days 00:24:02.082579
12,PaintBotFaultyMove_ShouldFail {Autobot1},1.2,Passed,2025-05-31 21:28:42.783,2025-05-31 21:28:43.983,2025-05-31 22:11:03.337085,0 days 00:42:04.837242
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.41,Passed,2025-05-31 22:15:08.580,2025-05-31 22:15:08.993,2025-05-31 22:15:21.185925,0 days 00:04:17.848840
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.41,Passed,2025-05-31 22:15:08.580,2025-05-31 22:15:08.993,2025-05-31 22:57:26.999966,0 days 00:42:05.814041
12,PaintBotFaultyMove_ShouldFail {Autobot1},1.26,Passed,2025-05-31 23:06:26.373,2025-05-31 23:06:27.633,2025-05-31 23:06:34.864831,0 days 00:09:07.864865
12,PaintBotFaultyMove_ShouldFail {Autobot1},1.26,Passed,2025-05-31 23:06:26.373,2025-05-31 23:06:27.633,2025-05-31 23:43:36.685090,0 days 00:37:01.820259
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.76,Passed,2025-05-31 23:47:29.437,2025-05-31 23:47:30.193,2025-05-31 23:47:43.098104,0 days 00:04:06.413014
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.76,Passed,2025-05-31 23:47:29.437,2025-05-31 23:47:30.193,2025-06-01 00:29:38.309400,0 days 00:41:55.211296
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.23,Passed,2025-06-01 00:33:24.007,2025-06-01 00:33:24.240,2025-06-01 00:33:34.703660,0 days 00:03:56.394260
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.23,Passed,2025-06-01 00:33:24.007,2025-06-01 00:33:24.240,2025-06-01 01:15:38.924951,0 days 00:42:04.221291
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.54,Passed,2025-06-01 02:28:33.047,2025-06-01 02:28:33.583,2025-06-01 02:28:40.327886,0 days 01:13:01.402935
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.5,Passed,2025-06-01 02:40:12.683,2025-06-01 02:40:13.183,2025-06-01 02:40:26.877168,0 days 00:11:46.549282
12,PaintBotFaultyMove_ShouldFail {Autobot1},1.16,Passed,2025-06-01 11:40:07.273,2025-06-01 11:40:08.433,2025-06-01 11:40:13.864260,0 days 08:59:46.987092
12,PaintBotFaultyMove_ShouldFail {Autobot1},1.16,Passed,2025-06-01 11:40:07.273,2025-06-01 11:40:08.433,2025-06-01 13:02:51.408652,0 days 01:22:37.544392
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.0,Aborted,2025-06-01 13:03:47.977,2025-06-01 13:03:47.977,2025-06-01 15:18:01.646755,0 days 02:15:10.238103
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.0,Aborted,2025-06-01 13:03:47.977,2025-06-01 13:03:47.977,2025-06-01 15:18:02.118082,0 days 00:00:00.471327
12,PaintBotFaultyMove_ShouldFail {Autobot1},1.62,Passed,2025-06-02 07:02:19.077,2025-06-02 07:02:20.693,2025-06-02 07:02:30.574383,0 days 15:44:28.456301
12,PaintBotFaultyMove_ShouldFail {Autobot1},1.62,Passed,2025-06-02 07:02:19.077,2025-06-02 07:02:20.693,2025-06-02 08:45:42.247922,0 days 01:43:11.673539
12,PaintBotFaultyMove_ShouldFail {Autobot1},1.91,Passed,2025-06-02 08:49:39.003,2025-06-02 08:49:40.910,2025-06-02 08:49:48.927664,0 days 00:04:06.679742
12,PaintBotFaultyMove_ShouldFail {Autobot1},1.24,Passed,2025-06-02 09:19:27.177,2025-06-02 09:19:28.420,2025-06-02 09:19:47.884829,0 days 00:29:58.957165
12,PaintBotFaultyMove_ShouldFail {Autobot1},1.21,Passed,2025-06-02 13:18:30.337,2025-06-02 13:18:31.547,2025-06-02 13:18:44.445549,0 days 03:58:56.560720
12,PaintBotFaultyMove_ShouldFail {Autobot1},1.21,Passed,2025-06-02 13:18:30.337,2025-06-02 13:18:31.547,2025-06-02 14:02:58.819821,0 days 00:44:14.374272
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.0,,2025-06-02 15:37:20.930,2025-06-02 15:37:20.930,2025-06-02 15:39:08.972924,0 days 01:36:10.153103
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.0,,2025-06-02 15:49:19.597,2025-06-02 15:49:19.597,2025-06-02 15:51:06.549902,0 days 00:11:57.576978
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.74,Passed,2025-06-02 16:01:56.063,2025-06-02 16:01:56.803,2025-06-02 16:02:09.717257,0 days 00:11:03.167355
12,PaintBotFaultyMove_ShouldFail {Autobot1},1.93,Passed,2025-06-02 16:44:55.500,2025-06-02 16:44:57.433,2025-06-02 16:45:05.324573,0 days 00:42:55.607316
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.23,Passed,2025-06-10 15:44:22.893,2025-06-10 15:44:23.127,2025-06-10 15:44:31.858705,7 days 22:59:26.534132
12,PaintBotFaultyMove_ShouldFail {Autobot1},1.9,Passed,2025-06-10 16:13:27.997,2025-06-10 16:13:29.897,2025-06-10 16:13:40.935035,0 days 00:29:09.076330
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.44,Passed,2025-06-10 16:21:36.987,2025-06-10 16:21:37.427,2025-06-10 16:21:41.136561,0 days 00:08:00.201526
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.44,Passed,2025-06-10 16:21:36.987,2025-06-10 16:21:37.427,2025-06-10 17:03:56.515260,0 days 00:42:15.378699
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.93,Passed,2025-06-10 21:06:58.963,2025-06-10 21:06:59.893,2025-06-10 21:07:09.536584,0 days 04:03:13.021324
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.93,Passed,2025-06-10 21:06:58.963,2025-06-10 21:06:59.893,2025-06-10 21:49:13.003998,0 days 00:42:03.467414
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.33,Passed,2025-06-10 22:07:22.780,2025-06-10 22:07:23.110,2025-06-10 22:07:43.816702,0 days 00:18:30.812704
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.33,Passed,2025-06-10 22:07:22.780,2025-06-10 22:07:23.110,2025-06-11 00:12:48.008464,0 days 02:05:04.191762
12,PaintBotFaultyMove_ShouldFail {Autobot1},1.45,Passed,2025-06-11 09:07:00.020,2025-06-11 09:07:01.473,2025-06-11 09:07:14.000545,0 days 08:54:25.992081
12,PaintBotFaultyMove_ShouldFail {Autobot1},1.45,Passed,2025-06-11 09:07:00.020,2025-06-11 09:07:01.473,2025-06-11 09:48:48.196399,0 days 00:41:34.195854
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.67,Passed,2025-06-11 18:34:11.933,2025-06-11 18:34:12.603,2025-06-11 18:34:24.843377,0 days 08:45:36.646978
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.67,Passed,2025-06-11 18:34:11.933,2025-06-11 18:34:12.603,2025-06-11 19:16:08.534839,0 days 00:41:43.691462
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.39,Passed,2025-06-13 10:20:11.100,2025-06-13 10:20:11.490,2025-06-13 10:20:19.832670,1 days 15:04:11.297831
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.39,Passed,2025-06-13 10:20:11.100,2025-06-13 10:20:11.490,2025-06-13 11:16:37.038314,0 days 00:56:17.205644
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.91,Passed,2025-06-14 18:48:48.533,2025-06-14 18:48:49.440,2025-06-14 18:49:03.115128,1 days 07:32:26.076814
12,PaintBotFaultyMove_ShouldFail {Autobot1},0.91,Passed,2025-06-14 18:48:48.533,2025-06-14 18:48:49.440,2025-06-14 19:30:38.581658,0 days 00:41:35.466530
13,ABBXPaintControl_ResetAndRetry {Autobot1},1.7,Passed,2025-05-28 18:09:46.760,2025-05-28 18:09:48.457,2025-05-28 18:09:59.071860,0 days 00:27:50.209521
13,ABBXPaintControl_ResetAndRetry {Autobot1},0.88,Failed,2025-05-28 19:51:08.393,2025-05-28 19:51:09.273,2025-05-28 19:51:28.926321,0 days 01:41:29.854461
13,ABBXPaintControl_ResetAndRetry {Autobot1},0.21,Failed,2025-05-28 20:29:02.217,2025-05-28 20:29:02.423,2025-05-28 20:29:13.852769,0 days 00:37:44.926448
13,ABBXPaintControl_ResetAndRetry {Autobot1},1.3,Passed,2025-05-29 11:23:24.763,2025-05-29 11:23:26.063,2025-05-29 11:23:31.669669,0 days 14:54:17.816900
13,ABBXPaintControl_ResetAndRetry {Autobot1},1.75,Failed,2025-05-31 19:59:00.490,2025-05-31 19:59:02.237,2025-05-31 19:59:15.087346,2 days 08:35:43.417677
13,ABBXPaintControl_ResetAndRetry {Autobot1},1.77,Failed,2025-05-31 21:04:47.350,2025-05-31 21:04:49.117,2025-05-31 21:04:56.448634,0 days 01:05:41.361288
13,ABBXPaintControl_ResetAndRetry {Autobot1},1.98,Passed,2025-05-31 21:28:43.983,2025-05-31 21:28:45.967,2025-05-31 21:28:58.531261,0 days 00:24:02.082627
13,ABBXPaintControl_ResetAndRetry {Autobot1},1.98,Passed,2025-05-31 21:28:43.983,2025-05-31 21:28:45.967,2025-05-31 22:11:03.368496,0 days 00:42:04.837235
13,ABBXPaintControl_ResetAndRetry {Autobot1},1.5,Passed,2025-05-31 22:15:08.993,2025-05-31 22:15:10.493,2025-05-31 22:15:21.216084,0 days 00:04:17.847588
13,ABBXPaintControl_ResetAndRetry {Autobot1},1.5,Passed,2025-05-31 22:15:08.993,2025-05-31 22:15:10.493,2025-05-31 22:57:27.034468,0 days 00:42:05.818384
